Department of Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Import Data Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export :: Country-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Country,2008-2009,%Share,2009-2010,%Share,2010-2011,%Share,2011-2012,%Share,2012-2013,%Share,2013-2014,%Share,2014-2015,%Share,2015-2016,%Share,2016-2017,%Share,2017-2018,%Share,2018-2019,%Share,2019-2020,%Share,2020-2021,%Share,2021-2022,%Share,2022-2023,%Share,2023-2024,%Share,2024-2025,%Share
32,BULGARIA,"33,011.76",0.0393,"24,128.28",0.0285,"31,736.99",0.0279,"52,059.37",0.0355,"85,393.39",0.0523,"1,01,801.81",0.0534,"1,63,555.97",0.0862,"94,946.06",0.0553,"1,60,506.35",0.0868,"1,11,676.56",0.0571,"1,47,874.07",0.0641,"1,12,420.09",0.0506,"1,26,031.82",0.0584,"1,84,187.34",0.0585,"55,771.83",0.0154,"55,799.83",0.0154,"33,114.55",0.0529
33,BURKINA FASO,"21,960.15",0.0261,"17,337.36",0.0205,"20,829.94",0.0183,"40,625.66",0.0277,"46,830.01",0.0287,"62,444.72",0.0328,"68,848.89",0.0363,"71,610.75",0.0417,"77,113.28",0.0417,"95,653.10",0.0489,"1,27,193.40",0.0551,"1,09,074.68",0.0491,"1,53,836.40",0.0713,"1,46,552.11",0.0466,"1,70,058.28",0.047,"1,85,187.44",0.0512,"18,286.13",0.0292
34,BURUNDI,"6,494.28",0.0077,"5,964.60",0.0071,"7,342.00",0.0065,"11,665.58",0.008,"17,719.60",0.0108,"18,550.24",0.0097,"19,255.58",0.0102,"18,999.97",0.0111,"24,027.12",0.013,"24,546.01",0.0125,"34,079.51",0.0148,"41,435.56",0.0187,"47,468.24",0.022,"45,051.97",0.0143,"1,41,939.91",0.0392,"99,983.45",0.0276,"5,406.67",0.0086
35,C AFRI REP,"1,122.73",0.0013,"2,409.50",0.0028,"1,597.02",0.0014,"3,051.82",0.0021,"4,583.90",0.0028,"4,615.46",0.0024,"4,735.72",0.0025,"6,054.76",0.0035,"6,897.65",0.0037,"19,251.39",0.0098,"19,131.15",0.0083,"39,526.75",0.0178,"17,567.02",0.0081,"15,044.04",0.0048,"34,538.81",0.0095,"31,804.74",0.0088,"2,589.63",0.0041
36,CAMBODIA,"21,507.71",0.0256,"21,553.19",0.0255,"30,483.23",0.0268,"47,753.35",0.0326,"60,998.60",0.0373,"85,808.61",0.045,"87,409.72",0.0461,"93,502.35",0.0545,"70,495.74",0.0381,"78,293.09",0.04,"1,37,081.94",0.0594,"1,33,176.63",0.06,"1,24,752.10",0.0578,"1,48,094.49",0.0471,"16,582.74",0.0046,"54,002.75",0.0149,"25,393.40",0.0406
37,CAMEROON,"42,335.75",0.0504,"36,388.98",0.043,"55,157.69",0.0485,"95,134.46",0.0649,"1,36,482.37",0.0835,"1,57,035.81",0.0824,"1,52,553.47",0.0804,"1,24,568.34",0.0726,"99,824.43",0.054,"1,25,015.24",0.0639,"1,24,948.32",0.0541,"1,62,124.50",0.073,"2,06,334.98",0.0956,"3,00,937.09",0.0956,"1,77,043.20",0.0489,"1,53,433.99",0.0424,"78,817.50",0.126
38,CANADA,"6,24,678.79",0.743,"5,32,057.94",0.6293,"6,13,988.55",0.54,"9,92,373.57",0.6769,"11,08,246.48",0.6781,"12,34,403.73",0.648,"13,43,067.75",0.7082,"13,20,679.53",0.7695,"13,43,585.41",0.7265,"16,15,354.01",0.8256,"19,93,563.25",0.8639,"20,21,484.00",0.9106,"21,91,316.23",1.0149,"28,07,081.58",0.892,"4,48,317.89",0.1238,"3,75,987.25",0.1039,"5,36,224.57",0.8572
39,CANARY IS,,,27.25,0,63.91,0.0001,2.58,0,3.68,0,1.57,0,11.34,0,,,839.93,0.0005,952.56,0.0005,"1,110.88",0.0005,"1,541.82",0.0007,"2,453.34",0.0011,"4,673.85",0.0015,"32,93,896.84",0.9095,"31,83,684.74",0.8796,542.36,0.0009
40,CAPE VERDE IS,175.76,0.0002,330.17,0.0004,226.22,0.0002,219.83,0.0001,513.32,0.0003,869.78,0.0005,"2,501.95",0.0013,936.52,0.0005,"3,179.56",0.0017,"2,594.11",0.0013,"3,047.34",0.0013,"4,698.21",0.0021,"3,187.77",0.0015,"4,945.46",0.0016,"3,599.72",0.001,"2,611.71",0.0007,"55,012.61",0.0879
41,CAYMAN IS,265.85,0.0003,376.82,0.0004,129.83,0.0001,449.25,0.0003,209.73,0.0001,"1,937.48",0.001,"4,030.21",0.0021,"2,337.23",0.0014,"25,804.42",0.014,"17,597.66",0.009,"26,313.91",0.0114,"41,727.80",0.0188,"43,786.46",0.0203,"39,456.17",0.0125,"4,566.31",0.0013,"5,900.33",0.0016,"14,916.34",0.0238
42,CHAD,"7,188.97",0.0086,"3,269.72",0.0039,"5,441.09",0.0048,"18,848.49",0.0129,"25,202.98",0.0154,"20,156.37",0.0106,"24,931.28",0.0131,"28,349.78",0.0165,"4,52,188.46",0.2445,"4,92,191.03",0.2516,"6,91,209.06",0.2995,"5,61,173.81",0.2528,"5,95,017.21",0.2756,"8,80,788.26",0.2799,"46,302.68",0.0128,"66,194.67",0.0183,"1,36,397.71",0.218
43,CHANNEL IS,22.18,0,,,"2,31,336.65",0.2035,8.79,0,32.26,0,9.89,0,0.01,0,,,"68,25,091.98",3.6904,"85,99,429.96",4.3953,"1,17,28,910.90",5.0825,"1,17,67,331.48",5.3009,"1,57,20,159.04",7.2811,"1,58,21,547.51",5.0275,"9,36,922.46",0.2587,"9,79,460.08",0.2706,"21,35,705.93",3.4139
44,CHILE,"1,77,677.13",0.2113,"1,31,888.43",0.156,"64,31,514.27",5.6567,"2,51,439.18",0.1715,"3,75,900.08",0.23,"4,02,825.09",0.2115,"3,46,116.02",0.1825,"4,45,108.27",0.2593,12.94,0,,,,,2.82,0,,,4.93,0,"1,22,77,398.94",3.3901,"1,37,96,645.41",3.812,,
