Department of Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Import Data Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export :: Country-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Country,2008-2009,%Share,2009-2010,%Share,2010-2011,%Share,2011-2012,%Share,2012-2013,%Share,2013-2014,%Share,2014-2015,%Share,2015-2016,%Share,2016-2017,%Share,2017-2018,%Share,2018-2019,%Share,2019-2020,%Share,2020-2021,%Share,2021-2022,%Share,2022-2023,%Share,2023-2024,%Share,2024-2025,%Share
117,LEBANON,"61,349.66",0.073,"62,368.92",0.0738,"8,447.56",0.0074,"1,12,040.30",0.0764,"1,36,514.90",0.0835,"1,77,569.15",0.0932,"59,963.95",0.0316,"51,871.24",0.0302,"22,232.62",0.012,"20,334.12",0.0104,"1,24,880.27",0.0541,"1,54,913.93",0.0698,"1,13,959.62",0.0528,"1,78,919.28",0.0569,"2,08,198.54",0.0575,"2,01,540.79",0.0557,"1,26,029.81",0.2015
118,LESOTHO,"15,730.64",0.0187,"6,779.36",0.008,"20,045.74",0.0176,"10,132.99",0.0069,"10,002.71",0.0061,"18,858.44",0.0099,"1,70,847.34",0.0901,"1,57,070.28",0.0915,"97,883.90",0.0529,"1,65,815.96",0.0848,"1,10,013.84",0.0477,"1,30,689.79",0.0589,"2,791.01",0.0013,"1,457.72",0.0005,"2,72,968.23",0.0754,"4,68,320.53",0.1294,226.91,0.0004
119,LIBERIA,"13,483.02",0.016,"13,993.12",0.0165,"60,130.48",0.0529,"38,003.14",0.0259,"69,323.17",0.0424,"1,54,578.39",0.0811,"23,436.29",0.0124,"19,620.37",0.0114,"80,457.47",0.0435,"78,655.52",0.0402,"2,373.48",0.001,"3,080.85",0.0014,"1,20,706.59",0.0559,"2,47,049.71",0.0785,241.91,0.0001,730.23,0.0002,"41,926.47",0.067
120,LIBYA,"59,829.60",0.0712,"1,05,495.91",0.1248,75.17,0.0001,"30,207.42",0.0206,"1,17,077.46",0.0716,"1,73,359.68",0.091,"1,26,502.11",0.0667,"87,403.46",0.0509,495.29,0.0003,"1,798.39",0.0009,"89,050.98",0.0386,"78,550.31",0.0354,"9,325.60",0.0043,"10,855.92",0.0034,"2,84,907.54",0.0787,"2,60,445.28",0.072,"9,157.58",0.0146
121,LIECHTENSTEIN,"2,109.99",0.0025,27.37,0,"37,920.96",0.0334,64.57,0,148.64,0.0001,193.64,0.0001,"99,870.23",0.0527,"80,121.74",0.0467,"64,368.32",0.0348,"66,938.64",0.0342,"20,911.62",0.0091,"14,437.68",0.0065,"6,696.20",0.0031,"8,938.21",0.0028,"33,486.18",0.0092,"32,806.72",0.0091,373.86,0.0006
122,LITHUANIA,"27,293.60",0.0325,"31,131.95",0.0368,"8,562.60",0.0075,"65,749.19",0.0449,"80,253.61",0.0491,"63,495.23",0.0333,118.48,0.0001,545.58,0.0003,"7,702.24",0.0042,"7,342.96",0.0038,728.87,0.0003,"4,497.59",0.002,"17,149.69",0.0079,"22,791.53",0.0072,"3,520.70",0.001,795.1,0.0002,"4,632.27",0.0074
123,LUXEMBOURG,"5,138.89",0.0061,"2,250.22",0.0027,653.57,0.0006,"4,316.70",0.0029,"4,465.16",0.0027,"7,047.57",0.0037,"63,100.17",0.0333,"57,862.20",0.0337,"1,015.20",0.0005,"8,945.32",0.0046,"13,680.56",0.0059,"16,021.93",0.0072,"2,40,657.49",0.1115,"2,62,009.77",0.0833,"22,488.09",0.0062,"30,339.12",0.0084,"31,807.62",0.0508
124,MACAO,"2,580.30",0.0031,"19,367.34",0.0229,"3,798.52",0.0033,730.99,0.0005,525.28,0.0003,989.18,0.0005,"5,886.08",0.0031,"5,289.88",0.0031,"9,985.58",0.0054,"11,205.53",0.0057,"1,38,350.36",0.06,"2,13,387.08",0.0961,"1,12,063.80",0.0519,"1,12,158.14",0.0356,"4,25,495.22",0.1175,"1,91,865.50",0.053,"16,134.41",0.0258
125,MACEDONIA,"4,755.99",0.0057,"3,299.50",0.0039,"36,046.80",0.0317,"4,257.45",0.0029,"4,955.83",0.003,"6,496.99",0.0034,"1,464.90",0.0008,"1,292.10",0.0008,"1,42,836.72",0.0772,"1,46,907.13",0.0751,"1,41,795.37",0.0614,"1,30,729.24",0.0589,"44,97,079.07",2.0829,"52,12,357.37",1.6563,"92,276.15",0.0255,"72,216.99",0.02,"13,25,750.51",2.1192
126,MADAGASCAR,"1,11,534.40",0.1327,"41,092.14",0.0486,"46,286.07",0.0407,"59,759.88",0.0408,"83,936.82",0.0514,"1,45,634.47",0.0764,"8,888.90",0.0047,"8,418.61",0.0049,"1,19,523.82",0.0646,"1,28,649.66",0.0658,"45,10,372.20",1.9545,"45,10,641.90",2.032,"1,45,155.52",0.0672,"4,98,288.92",0.1583,"57,26,516.72",1.5812,"60,16,559.47",1.6624,"79,821.96",0.1276
127,MALAWI,"40,906.58",0.0487,"38,696.72",0.0458,"17,67,721.05",1.5548,"70,815.87",0.0483,"83,362.80",0.051,"1,34,331.86",0.0705,"1,02,094.85",0.0538,"1,28,421.41",0.0748,"35,04,936.02",1.8951,"36,73,820.56",1.8777,"1,55,689.22",0.0675,"1,60,809.47",0.0724,"1,38,270.43",0.064,"1,54,597.96",0.0491,"3,83,517.44",0.1059,"7,38,769.64",0.2041,"16,696.95",0.0267
128,MALAYSIA,"15,78,036.20",1.8769,"13,50,392.32",1.5971,"45,554.05",0.0401,"19,10,321.00",1.3031,"24,14,350.85",1.4773,"25,41,360.81",1.334,"1,30,660.51",0.0689,"1,15,361.87",0.0672,"1,32,519.94",0.0717,"1,39,866.07",0.0715,"91,519.41",0.0397,"1,03,778.34",0.0468,"2,37,157.57",0.1098,"3,56,891.57",0.1134,"1,06,629.18",0.0294,"99,089.39",0.0274,"36,133.19",0.0578
129,MALDIVES,"59,028.43",0.0702,"37,849.50",0.0448,"29,610.36",0.026,"59,778.57",0.0408,"66,609.97",0.0408,"64,298.93",0.0338,"35,61,410.74",1.878,"24,15,933.20",1.4076,"72,286.95",0.0391,"79,644.49",0.0407,"1,60,644.40",0.0696,"1,47,350.94",0.0664,457.85,0.0002,777.38,0.0002,"2,48,131.56",0.0685,"4,11,447.06",0.1137,89.23,0.0001
130,MALI,"17,907.49",0.0213,"19,962.95",0.0236,"3,41,332.43",0.3002,"47,498.73",0.0324,"42,776.09",0.0262,"65,862.52",0.0346,"93,314.67",0.0492,"1,17,112.15",0.0682,"92,233.05",0.0499,"1,26,241.12",0.0645,224.57,0.0001,"23,135.47",0.0104,"3,148.99",0.0015,"4,660.34",0.0015,384.19,0.0001,"1,815.66",0.0005,505.12,0.0008
131,MALTA,"48,608.92",0.0578,"3,31,357.88",0.3919,88.76,0.0001,"4,09,210.72",0.2791,"2,16,176.30",0.1323,"1,02,830.55",0.054,"81,967.45",0.0432,"70,780.10",0.0412,96.31,0.0001,"9,013.07",0.0046,"2,502.29",0.0011,"2,686.24",0.0012,"65,640.47",0.0304,"72,256.86",0.023,"4,132.49",0.0011,"3,802.85",0.0011,"17,849.88",0.0285
132,MARSHALL ISLAND,49.56,0.0001,30.97,0,"2,208.01",0.0019,239.19,0.0002,49.04,0,704.81,0.0004,"2,01,788.11",0.1064,"2,11,728.41",0.1234,"2,767.13",0.0015,"2,854.17",0.0015,"80,500.50",0.0349,"59,593.86",0.0268,"3,12,515.75",0.1447,"5,32,593.01",0.1692,"1,18,109.48",0.0326,"79,807.90",0.0221,"1,51,203.78",0.2417
133,MARTINIQUE,"19,097.74",0.0227,"2,621.93",0.0031,"15,254.24",0.0134,"3,042.02",0.0021,"3,199.14",0.002,"4,660.38",0.0024,76.24,0,"66,972.69",0.039,"44,226.03",0.0239,"53,675.21",0.0274,"8,09,097.15",0.3506,"4,66,351.77",0.2101,"4,175.61",0.0019,"2,592.16",0.0008,"3,72,008.85",0.1027,"6,45,385.93",0.1783,811.86,0.0013
134,MAURITANIA,"16,367.53",0.0195,"14,470.53",0.0171,"3,86,060.70",0.3396,"22,417.16",0.0153,"22,765.75",0.0139,"35,084.07",0.0184,"3,753.62",0.002,"2,943.24",0.0017,"5,91,974.06",0.3201,"6,94,660.59",0.3551,"1,960.67",0.0008,"2,222.49",0.001,"22,82,893.67",1.0574,"32,98,130.37",1.048,"4,511.34",0.0012,"6,270.50",0.0017,"8,33,788.96",1.3328
135,MAURITIUS,"4,39,831.09",0.5231,"2,13,621.61",0.2526,"4,15,448.69",0.3654,"6,76,907.61",0.4618,"7,13,661.96",0.4367,"6,07,739.25",0.319,"36,038.42",0.019,"38,246.14",0.0223,115.73,0.0001,48.09,0,"26,78,625.72",1.1607,"25,65,260.73",1.1556,530.81,0.0002,458.34,0.0001,"41,69,331.93",1.1513,"44,08,459.44",1.218,67.77,0.0001
136,MEXICO,"3,01,051.91",0.3581,"2,81,108.28",0.3325,294,0.0003,"6,57,845.47",0.4487,"8,86,219.50",0.5423,"13,57,128.29",0.7124,"11,64,923.05",0.6143,"5,57,218.85",0.3246,"23,20,558.91",1.2547,"24,38,432.22",1.2463,235.73,0.0001,373.27,0.0002,"8,563.88",0.004,"6,738.17",0.0021,474.84,0.0001,513.32,0.0001,"1,633.17",0.0026
137,MICRONESIA,41.97,0,77.98,0.0001,"3,429.41",0.003,95.92,0.0001,101.86,0.0001,337.31,0.0002,"17,52,717.31",0.9243,"18,79,336.63",1.0949,94.09,0.0001,191.66,0.0001,"6,036.10",0.0026,"6,150.35",0.0028,"1,412.83",0.0007,"2,667.05",0.0008,"9,647.02",0.0027,"10,356.50",0.0029,466.24,0.0007
138,MOLDOVA,"3,065.25",0.0036,"3,094.92",0.0037,477.36,0.0004,"3,574.59",0.0024,"4,855.41",0.003,"6,357.72",0.0033,141.26,0.0001,234.39,0.0001,"4,499.83",0.0024,"4,603.68",0.0024,"1,765.71",0.0008,"1,392.63",0.0006,"13,996.46",0.0065,"19,358.09",0.0062,"2,217.94",0.0006,"1,954.09",0.0005,"4,646.69",0.0074
139,MONACO,158.76,0.0002,193.69,0.0002,"9,417.16",0.0083,252.31,0.0002,408.29,0.0002,186.12,0.0001,"5,372.72",0.0028,"5,100.03",0.003,"1,027.03",0.0006,"1,252.89",0.0006,"15,801.11",0.0068,"11,524.14",0.0052,"14,811.45",0.0069,"16,211.70",0.0052,"27,322.30",0.0075,"27,451.56",0.0076,"24,930.68",0.0399
140,MONGOLIA,"7,059.86",0.0084,"3,714.76",0.0044,238.24,0.0002,"16,987.85",0.0116,"13,005.37",0.008,"9,045.65",0.0047,532.71,0.0003,682.65,0.0004,"6,551.70",0.0035,"13,205.87",0.0067,"27,059.74",0.0117,"14,170.91",0.0064,49.48,0,61.74,0,"22,906.11",0.0063,"28,904.98",0.008,16.82,0
141,MONTSERRAT,93.28,0.0001,60.7,0.0001,"1,44,923.07",0.1275,125.71,0.0001,,,"18,364.96",0.0096,"4,830.59",0.0025,"5,486.95",0.0032,"24,355.85",0.0132,"33,249.94",0.017,41.55,0,41.84,0,"3,75,137.45",0.1738,"7,19,770.06",0.2287,118.64,0,100.75,0,"1,15,109.35",0.184
142,MOROCCO,"1,10,544.19",0.1315,"1,18,656.44",0.1403,"2,75,884.49",0.2427,"1,78,911.73",0.122,20.6,0,42.84,0,"25,809.27",0.0136,"17,211.24",0.01,412.59,0.0002,14.75,0,"4,75,220.17",0.2059,"5,66,207.20",0.2551,"9,11,436.83",0.4221,"14,73,225.51",0.4681,"8,42,705.30",0.2327,"8,55,027.77",0.2362,"1,96,351.87",0.3139
143,MOZAMBIQUE,"1,91,948.96",0.2283,"1,69,504.92",0.2005,"1,45,903.12",0.1283,"2,54,681.14",0.1737,"2,32,115.60",0.142,"2,32,978.98",0.1223,208.84,0.0001,632.86,0.0004,"2,50,709.16",0.1356,"2,78,912.62",0.1426,"7,53,810.07",0.3266,"15,41,061.38",0.6942,"5,73,219.70",0.2655,"6,66,478.49",0.2118,"20,12,367.70",0.5557,"16,50,459.78",0.456,"77,573.92",0.124
144,MYANMAR,"1,01,776.52",0.1211,"98,472.88",0.1165,63.19,0.0001,"2,64,450.60",0.1804,"5,44,520.20",0.3332,"7,67,915.79",0.4031,"1,99,260.59",0.1051,"2,24,581.86",0.1308,"6,77,814.62",0.3665,"5,80,575.32",0.2967,"8,45,853.57",0.3665,"6,91,047.58",0.3113,213.64,0.0001,280.25,0.0001,"6,50,322.91",0.1796,"5,54,901.37",0.1533,1.55,0
145,N. MARIANA IS.,205.42,0.0002,212.81,0.0003,"25,228.89",0.0222,12.24,0,"2,96,070.66",0.1812,"4,80,568.13",0.2523,"12,65,172.47",0.6672,"8,08,710.97",0.4712,"7,43,507.29",0.402,"6,22,705.55",0.3183,190.44,0.0001,104.64,0,"37,763.07",0.0175,"1,54,814.38",0.0492,141.76,0,254.05,0.0001,"7,846.60",0.0125
146,NAMIBIA,"41,920.85",0.0499,"30,049.51",0.0355,50.34,0,"30,756.87",0.021,1.8,0,35.97,0,"4,73,624.48",0.2498,"7,08,234.52",0.4126,8.69,0,25.86,0,"57,848.42",0.0251,"47,070.01",0.0212,70.76,0,230.83,0.0001,"1,91,259.44",0.0528,"3,76,022.43",0.1039,0.05,0
147,NAURU RP,52.67,0.0001,38.5,0,"9,87,080.89",0.8682,102.6,0.0001,"30,855.53",0.0189,"1,32,949.76",0.0698,52.11,0,356.26,0.0002,"60,276.67",0.0326,"28,293.24",0.0145,360.52,0.0002,98.53,0,"50,46,548.59",2.3374,"71,93,921.63",2.2859,245.55,0.0001,70.47,0,"10,20,197.50",1.6308
148,NEPAL,"7,15,577.12",0.8511,"7,25,131.51",0.8576,"34,94,970.09",3.0739,"13,13,024.45",0.8957,1.01,0,107.56,0.0001,"66,258.54",0.0349,"48,400.98",0.0282,"1,665.05",0.0009,877.58,0.0004,"54,30,053.60",2.353,"50,71,276.32",2.2845,"47,85,836.50",2.2166,"93,72,473.48",2.9782,"64,77,320.15",1.7885,"58,27,488.22",1.6101,"43,94,521.29",7.0246
149,NETHERLAND,"28,88,996.20",3.4362,"30,30,093.80",3.5836,"23,951.56",0.0211,"43,90,731.74",2.9951,"16,80,555.92",1.0283,"21,77,023.41",1.1428,11.75,0,4.46,0,"36,57,979.19",1.9779,"42,62,367.81",2.1786,"61,56,453.40",2.6678,"59,19,052.19",2.6664,"14,232.58",0.0066,"22,135.88",0.007,"1,74,40,918.30",4.8159,"1,85,26,011.14",5.1187,"1,698.10",0.0027
150,NETHERLANDANTIL,"8,633.71",0.0103,"13,947.06",0.0165,"7,615.25",0.0067,"18,498.07",0.0126,"57,37,255.76",3.5105,"48,74,447.28",2.5588,"27,85,909.77",1.4691,"25,55,150.62",1.4887,"34,01,704.01",1.8393,"40,34,396.77",2.062,"21,386.27",0.0093,"21,239.57",0.0096,"8,514.49",0.0039,"14,071.88",0.0045,"24,920.72",0.0069,"17,734.81",0.0049,"1,178.70",0.0019
151,NEUTRAL ZONE,4.39,0,,,"86,784.93",0.0763,78.55,0.0001,"32,735.78",0.02,"41,617.53",0.0218,"38,64,646.71",2.0379,"30,94,179.73",1.8027,"25,538.58",0.0138,"24,848.32",0.0127,"6,162.41",0.0027,"10,798.20",0.0049,"3,59,877.06",0.1667,"3,63,373.53",0.1155,"14,801.16",0.0041,"12,756.28",0.0035,"70,156.88",0.1121
152,NEW CALEDONIA,"2,055.12",0.0024,"1,667.50",0.002,"13,633.72",0.012,"28,909.92",0.0197,"6,858.22",0.0042,"5,331.01",0.0028,"25,013.41",0.0132,"24,258.70",0.0141,"5,435.65",0.0029,"6,603.53",0.0034,"2,66,096.85",0.1153,"2,68,226.99",0.1208,"66,321.63",0.0307,"80,065.54",0.0254,"4,38,263.80",0.121,"4,45,651.76",0.1231,"20,108.88",0.0321
153,NEW ZEALAND,"85,696.81",0.1019,"1,21,286.29",0.1434,"21,432.16",0.0189,"1,20,885.16",0.0825,"1,64,682.02",0.1008,"1,67,955.09",0.0882,"6,590.82",0.0035,"3,062.61",0.0018,"2,07,704.27",0.1123,"2,27,455.07",0.1163,"37,377.99",0.0162,"46,444.76",0.0209,"64,261.30",0.0298,"68,262.79",0.0217,"87,097.89",0.024,"1,09,572.51",0.0303,"13,289.70",0.0212
154,NICARAGUA,"9,447.83",0.0112,"10,956.72",0.013,"9,54,166.41",0.8392,"21,901.32",0.0149,"32,283.53",0.0198,"36,100.62",0.019,"1,96,894.80",0.1038,"2,01,459.73",0.1174,"57,825.13",0.0313,"56,278.31",0.0288,"66,470.54",0.0288,"51,922.77",0.0234,"23,15,237.90",1.0723,"34,74,512.68",1.1041,"67,549.78",0.0187,"38,991.83",0.0108,"3,58,169.70",0.5725
155,NIGER,"11,834.18",0.0141,"17,910.11",0.0212,3.95,0,"41,506.94",0.0283,"30,528.62",0.0187,"52,531.33",0.0276,"40,082.33",0.0211,"54,116.83",0.0315,"54,493.62",0.0295,"77,453.31",0.0396,"21,03,991.19",0.9117,"25,60,096.06",1.1533,2.61,0,,,"41,37,399.82",1.1424,"30,30,467.28",0.8373,135.32,0.0002
156,NIGERIA,"7,06,530.56",0.8404,"6,68,124.00",0.7902,350.27,0.0003,"13,05,140.72",0.8903,"14,91,668.87",0.9127,"16,18,074.47",0.8494,"47,829.55",0.0252,"52,815.12",0.0308,"11,82,597.08",0.6394,"14,53,525.62",0.7429,,,58.48,0,159.02,0.0001,133.3,0,0.2,0,,,"79,972.43",0.1278
157,NIUE IS,3.66,0,2.42,0,"81,593.46",0.0718,2.43,0,20.4,0,8.53,0,"16,37,591.08",0.8635,"14,52,343.44",0.8462,190.25,0.0001,247.75,0.0001,131.81,0.0001,235.46,0.0001,"2,38,589.92",0.1105,"2,83,015.52",0.0899,15.73,0,14.85,0,"5,32,201.55",0.8507
158,NORFOLK IS,181.99,0.0002,54.74,0.0001,"4,92,301.01",0.433,110.1,0.0001,267.07,0.0002,852.38,0.0004,,,25.86,0,"1,64,247.86",0.0888,"2,32,316.37",0.1187,"2,18,668.45",0.0948,"2,97,397.84",0.134,"17,43,614.57",0.8076,"23,57,249.74",0.749,"4,56,533.17",0.1261,"3,33,573.48",0.0922,"72,124.89",0.1153
159,NORWAY,"1,72,119.42",0.2047,"1,08,873.43",0.1288,24.7,0,"1,56,630.51",0.1068,"1,27,699.86",0.0781,"1,38,923.05",0.0729,35.27,0,222.22,0.0001,"18,26,217.26",0.9874,"15,71,938.00",0.8034,"15,66,933.74",0.679,"16,08,081.05",0.7244,"2,41,471.01",0.1118,"3,83,118.68",0.1217,"35,89,458.29",0.9911,"36,66,504.48",1.013,37.1,0.0001
160,OMAN,"3,54,968.47",0.4222,"4,90,230.12",0.5798,"9,25,477.16",0.814,"6,41,449.14",0.4376,"14,11,464.25",0.8636,"17,15,605.01",0.9006,"1,60,631.08",0.0847,"3,49,279.05",0.2035,"12,22,235.18",0.6609,"12,39,710.81",0.6336,"14,42,651.41",0.6251,"5,71,773.47",0.2576,155.98,0.0001,78.73,0,224.75,0.0001,,,"30,702.91",0.0491
161,PACIFIC IS,0.01,0,19.72,0,17.67,0,"15,861.43",0.0108,2.87,0,10.8,0,"14,54,776.14",0.7671,"14,40,906.38",0.8395,24.51,0,42.48,0,61.9,0,37.62,0,"1,12,238.72",0.052,"2,58,960.38",0.0823,"5,01,974.47",0.1386,"9,86,318.47",0.2725,"11,002.33",0.0176
162,PAKISTAN IR,"6,53,206.80",0.7769,"7,46,102.50",0.8824,202.24,0.0002,"7,44,826.91",0.5081,"11,23,262.97",0.6873,"13,83,234.04",0.7261,"11,35,211.32",0.5986,"14,28,653.29",0.8324,7.05,0,6.27,0,,,3.56,0,"41,624.06",0.0193,"52,118.61",0.0166,180.74,0,121.28,0,"30,362.53",0.0485
163,PALAU,99.66,0.0001,6.87,0,"56,515.35",0.0497,113.8,0.0001,19.63,0,17.27,0,41.01,0,10.31,0,"1,47,647.14",0.0798,"1,46,294.99",0.0748,"1,59,282.49",0.069,"1,68,958.31",0.0761,"1,19,165.45",0.0552,"1,57,245.22",0.05,"2,52,442.61",0.0697,"2,45,306.84",0.0678,"1,34,294.34",0.2147
164,PANAMA C Z,439.19,0.0005,325.73,0.0004,"9,979.62",0.0088,219.44,0.0001,394.64,0.0002,219.1,0.0001,42.43,0,107.41,0.0001,"24,315.29",0.0131,"27,037.91",0.0138,"34,697.25",0.015,"39,582.81",0.0178,"5,64,800.11",0.2616,"6,69,218.08",0.2127,"68,953.60",0.019,"58,029.82",0.016,"3,54,658.57",0.5669
165,PANAMA REPUBLIC,"55,942.32",0.0665,"37,074.82",0.0438,"18,899.03",0.0166,"1,11,536.35",0.0761,"1,23,265.61",0.0754,"1,28,530.51",0.0675,"1,85,096.81",0.0976,"1,31,863.97",0.0768,"83,880.21",0.0454,"1,08,613.00",0.0555,"1,11,901.62",0.0485,"89,947.86",0.0405,"10,79,059.96",0.4998,"15,71,064.04",0.4992,"1,25,830.27",0.0347,"1,75,652.63",0.0485,,
166,PAPUA N GNA,"8,950.52",0.0106,"8,357.45",0.0099,"1,89,980.24",0.1671,"17,007.10",0.0116,"16,220.95",0.0099,"26,826.18",0.0141,"31,855.58",0.0168,"25,720.87",0.015,"4,66,829.16",0.2524,"4,90,373.20",0.2506,"5,04,025.02",0.2184,"5,40,858.53",0.2436,87.16,0,,,"6,95,597.25",0.1921,"7,61,664.39",0.2104,"3,46,945.94",0.5546
167,PARAGUAY,"17,636.87",0.021,"17,519.71",0.0207,"4,00,462.19",0.3522,"32,298.93",0.022,"45,107.57",0.0276,"53,946.34",0.0283,"65,379.65",0.0345,"64,314.29",0.0375,"9,93,278.40",0.5371,"10,91,041.17",0.5576,"12,18,940.56",0.5282,"10,81,522.14",0.4872,"12,21,246.97",0.5656,"20,30,564.01",0.6452,"16,80,070.34",0.4639,"17,36,519.61",0.4798,"1,62,802.30",0.2602
168,PERU,"1,39,324.62",0.1657,"1,29,004.40",0.1526,120.54,0.0001,"2,72,030.61",0.1856,"3,47,157.52",0.2124,"3,76,604.83",0.1977,"5,02,214.05",0.2648,"4,59,577.59",0.2678,34.8,0,3.75,0,8.52,0,16.61,0,"6,22,313.14",0.2882,"8,87,461.10",0.282,0.37,0,1.36,0,"15,678.64",0.0251
169,PHILIPPINES,"3,37,935.11",0.4019,"3,54,650.05",0.4194,"3,02,942.35",0.2664,"4,76,321.82",0.3249,"6,46,549.08",0.3956,"8,61,017.68",0.452,"8,53,140.02",0.4499,"8,87,190.72",0.5169,"8,03,029.85",0.4342,"9,93,438.72",0.5078,"11,00,446.09",0.4769,"10,96,713.86",0.494,"1,15,422.22",0.0535,"2,07,757.85",0.066,"18,62,284.79",0.5142,"20,16,667.89",0.5572,"2,35,746.80",0.3768
170,PITCAIRN IS.,12.57,0,,,"2,39,502.88",0.2107,27.16,0,4.28,0,36.3,0,"6,42,000.13",0.3385,"6,71,842.19",0.3914,"4,48,954.61",0.2428,"4,81,759.84",0.2462,"5,19,454.80",0.2251,"5,28,349.51",0.238,"9,50,405.40",0.4402,"13,70,325.53",0.4354,"8,08,833.80",0.2233,"9,80,218.87",0.2708,"7,458.46",0.0119
171,POLAND,"2,34,698.64",0.2792,"1,99,041.83",0.2354,"29,497.44",0.0259,"3,76,889.18",0.2571,"4,41,237.41",0.27,"6,04,016.08",0.3171,"3,88,729.75",0.205,"3,86,607.81",0.2252,"70,891.31",0.0383,"50,303.54",0.0257,"97,078.12",0.0421,"96,520.52",0.0435,"32,509.05",0.0151,"43,731.40",0.0139,"2,13,852.94",0.0591,"1,16,239.73",0.0321,"1,37,181.98",0.2193
172,PORTUGAL,"1,99,195.84",0.2369,"1,76,883.87",0.2092,"1,70,914.44",0.1503,"2,50,161.61",0.1706,"2,87,387.33",0.1758,"3,80,859.86",0.1999,"60,755.41",0.032,"75,547.87",0.044,"5,26,164.24",0.2845,"9,48,771.97",0.4849,"11,24,421.98",0.4872,"8,99,529.59",0.4052,"2,74,661.67",0.1272,"4,41,558.39",0.1403,"15,80,100.45",0.4363,"14,07,972.73",0.389,"6,93,194.62",1.1081
173,PUERTO RICO,"30,438.24",0.0362,"41,607.61",0.0492,"17,397.65",0.0153,"49,572.25",0.0338,"57,991.13",0.0355,"55,048.05",0.0289,"6,44,294.18",0.3398,"5,89,913.16",0.3437,"27,588.33",0.0149,"29,899.43",0.0153,"32,934.59",0.0143,"28,469.49",0.0128,"19,64,970.48",0.9101,"24,23,279.92",0.77,"38,017.22",0.0105,"37,522.57",0.0104,"16,793.63",0.0268
174,QATAR,"3,07,192.44",0.3654,"2,55,943.18",0.3027,"1,94,208.21",0.1708,"3,94,933.37",0.2694,"3,74,633.57",0.2292,"5,91,120.35",0.3103,"29,796.15",0.0157,"27,947.22",0.0163,"1,72,603.70",0.0933,"2,57,165.70",0.1314,"3,00,784.01",0.1303,"2,59,627.67",0.117,"99,473.18",0.0461,"95,365.32",0.0303,"5,97,024.09",0.1649,"14,72,749.84",0.4069,,
175,REUNION,"17,487.09",0.0208,"16,214.99",0.0192,"7,70,613.67",0.6778,"23,046.70",0.0157,"26,606.92",0.0163,"31,794.12",0.0167,"2,55,369.01",0.1347,"1,67,570.03",0.0976,"12,98,532.46",0.7021,"13,62,201.92",0.6962,"16,72,679.44",0.7248,"21,39,987.91",0.964,28.23,0,10.73,0,"25,46,269.65",0.7031,"35,28,803.50",0.975,238.31,0.0004
176,ROMANIA,"2,28,655.44",0.272,"1,57,495.59",0.1863,"14,739.85",0.013,"1,28,460.53",0.0876,"1,54,176.26",0.0943,"1,73,074.11",0.0909,"12,82,356.22",0.6762,"10,40,893.51",0.6064,"59,032.58",0.0319,"58,406.13",0.0299,"1,01,882.53",0.0441,"87,821.67",0.0396,"2,000.05",0.0009,"1,044.35",0.0003,"1,15,459.60",0.0319,"1,10,470.45",0.0305,171.93,0.0003
177,RUSSIA,"4,95,824.21",0.5897,"4,63,720.99",0.5484,0.73,0,"8,54,690.29",0.583,"12,49,285.78",0.7644,"12,82,879.22",0.6734,"91,273.72",0.0481,"68,976.91",0.0402,1.59,0,8.17,0,1.79,0,2.3,0,188.84,0.0001,213.59,0.0001,23.66,0,54.73,0,51.31,0.0001
178,RWANDA,"13,672.29",0.0163,"12,523.63",0.0148,693.77,0.0006,"23,185.70",0.0158,"42,350.05",0.0259,"53,082.73",0.0279,16.67,0,0.6,0,"1,187.38",0.0006,"1,548.06",0.0008,"1,814.90",0.0008,"2,979.43",0.0013,"1,447.54",0.0007,"1,544.84",0.0005,981.28,0.0003,"1,590.77",0.0004,"17,33,668.20",2.7713
179,SAHARWI A.DM RP,27.77,0,"8,392.61",0.0099,475.74,0.0004,72.95,0,,,0.19,0,"1,514.31",0.0008,"1,461.21",0.0009,153.38,0.0001,89.02,0,106.66,0,170.67,0.0001,"43,35,888.56",2.0082,"65,31,013.73",2.0753,372.59,0.0001,429.89,0.0001,"1,43,098.45",0.2287
180,SAMOA,317.69,0.0004,676.76,0.0008,"21,29,607.06",1.8731,"1,048.23",0.0007,"1,085.24",0.0007,"2,643.41",0.0014,28.25,0,173.14,0.0001,619.85,0.0003,573.55,0.0003,827.19,0.0004,"1,060.98",0.0005,"5,15,979.11",0.239,"7,10,869.69",0.2259,"1,217.87",0.0003,"1,267.62",0.0004,"14,511.94",0.0232
181,SAO TOME,459.77,0.0005,579.68,0.0007,"95,671.91",0.0841,366.64,0.0003,,,0.19,0,894.71,0.0005,609.46,0.0004,"34,25,390.05",1.8521,"34,86,798.01",1.7821,"38,85,424.45",1.6837,"44,26,685.97",1.9941,"67,367.78",0.0312,"67,002.65",0.0213,"86,27,137.38",2.3822,"95,74,899.22",2.6455,"10,483.44",0.0168
